key;date;y
4361;01Sep2013;2267,132503
4361;01Oct2013;3068,619541
4361;01Nov2013;2165,830259
4361;01Dec2013;3819,700693
4361;01Jan2014;
4361;01Feb2014;1667,345819
4361;01Mar2014;5150,358144
4361;01Apr2014;4167,886111
4361;01May2014;7290,837254
4361;01Jun2014;5622,014109
4361;01Jul2014;4642,754089
4361;01Aug2014;4931,368128
4361;01Sep2014;3772,472304
4361;01Oct2014;4421,262061
4361;01Nov2014;1871,370576
4361;01Dec2014;3266,940114
4361;01Jan2015;4791,977959
4361;01Feb2015;2295,824965
4361;01Mar2015;5641,543173
4361;01Apr2015;5745,89644
4361;01May2015;6418,49243
4361;01Jun2015;6119,587654
4361;01Jul2015;4864,496955
4361;01Aug2015;6450,18819
4361;01Sep2015;5137,158969
4361;01Oct2015;2861,747472
4361;01Nov2015;3958,81387
4361;01Dec2015;5532,790992
4361;01Jan2016;4456,935466
4361;01Feb2016;2673,762092
4361;01Mar2016;7185,817531
4361;01Apr2016;5688,018811
4361;01May2016;8777,167245
4361;01Jun2016;6453,929228
4361;01Jul2016;6413,836184
4361;01Aug2016;6841,158149
4361;01Sep2016;4695,312707
4361;01Oct2016;7565,276023
4361;01Nov2016;2105,59223
4361;01Dec2016;4137,227153
4361;01Jan2017;4323,714634
4361;01Feb2017;4900,662423
4361;01Mar2017;8258,050874
4361;01Apr2017;6412,973717
4361;01May2017;7381,886524
4361;01Jun2017;7909,54281
4361;01Jul2017;6890,101561
4361;01Aug2017;8175,721525
4361;01Sep2017;5958,644332
4361;01Oct2017;10000
4361;01Nov2017;3721,264571
4361;01Dec2017;3165,007245
4361;01Jan2018;5971,743495
4361;01Feb2018;5371,095257
4361;01Mar2018;7927,760679
4361;01Apr2018;7249,746524
4361;01May2018;9765,828243
4361;01Jun2018;6721,423007
6846;01Jan2012;2269,441413
6846;01Feb2012;54,29142206
6846;01Mar2012;2396,624845
6846;01Apr2012;2063,909714
6846;01May2012;4391,500233
6846;01Jun2012;5002,619251
6846;01Jul2012;7923,646844
6846;01Aug2012;4329,251017
6846;01Sep2012;992,1274321
6846;01Oct2012;1599,548153
6846;01Nov2012;1840,359367
6846;01Dec2012;236,6796373
6846;01Jan2013;2209,988609
6846;01Feb2013;32,45748774
6846;01Mar2013;1391,790275
6846;01Apr2013;2650,373173
6846;01May2013;4654,706494
6846;01Jun2013;4679,620617
6846;01Jul2013;7321,424406
6846;01Aug2013;3967,9127
6846;01Sep2013;2714,650314
6846;01Oct2013;1502,520639
6846;01Nov2013;450,2099692
6846;01Dec2013;1903,976327
6846;01Jan2014;3654,279259
6846;01Feb2014;0
6846;01Mar2014;2672,795812
6846;01Apr2014;3294,523021
6846;01May2014;5487,447272
6846;01Jun2014;5523,119593
6846;01Jul2014;6627,356363
6846;01Aug2014;4622,768319
6846;01Sep2014;3465,583146
6846;01Oct2014;2646,588211
6846;01Nov2014;700,1921119
6846;01Dec2014;2803,103403
6846;01Jan2015;2594,774722
6846;01Feb2015;893,8412186
6846;01Mar2015;3165,399444
6846;01Apr2015;3767,386849
6846;01May2015;6210,268535
6846;01Jun2015;6298,963336
6846;01Jul2015;6734,129151
6846;01Aug2015;7132,179356
6846;01Sep2015;5930,872934
6846;01Oct2015;3837,414744
6846;01Nov2015;1899,661356
6846;01Dec2015;3511,824967
6846;01Jan2016;3261,752469
6846;01Feb2016;2545,991145
6846;01Mar2016;4856,930759
6846;01Apr2016;5197,958542
6846;01May2016;6462,113113
6846;01Jun2016;9056,667557
6846;01Jul2016;8625,884193
6846;01Aug2016;7975,701621
6846;01Sep2016;5993,033716
6846;01Oct2016;3631,687194
6846;01Nov2016;2847,696745
6846;01Dec2016;4466,592057
6846;01Jan2017;4759,794427
6846;01Feb2017;2913,374413
6846;01Mar2017;5311,487514
6846;01Apr2017;6026,400978
6846;01May2017;9295,326199
6846;01Jun2017;8208,936224
6846;01Jul2017;7799,004405
6846;01Aug2017;7203,885
6846;01Sep2017;4989,62026
6846;01Oct2017;5550,953881
6846;01Nov2017;3731,513971
6846;01Dec2017;4314,339272
6846;01Jan2018;5213,670702
6846;01Feb2018;3737,133735
6846;01Mar2018;5466,143596
6846;01Apr2018;6774,193748
6846;01May2018;10000
6846;01Jun2018;8672,677649
8200;01Jan2012;5388,087951
8200;01Feb2012;3195,55876
8200;01Mar2012;6150,855707
8200;01Apr2012;2386,48817
8200;01May2012;5912,547314
8200;01Jun2012;7412,864744
